Region,City,district,latitude,longitude
Tabouk Area,Tabouk,Prince Sultan Bin Abdulaziz International Airport,28.3721168,36.5986348
Tabouk Area,Tabouk,Al Qadisiyah 2 Dist.,28.3834978,36.5661464
Tabouk Area,Tabouk,Taibah Dist.,28.4149743,36.4457096
Tabouk Area,Tabouk,Industrial Area,28.4371976,36.4631535
Tabouk Area,Tabouk,Al Quds Dist.,28.4039184,36.469928
Tabouk Area,Tabouk,Al Taawun Dist.,28.4237781,36.4577183
Tabouk Area,Tabouk,Al Qadisiyah 1 Dist.,28.3834978,36.5661464
Tabouk Area,Tabouk,Ghirnatah Dist.,28.41757,36.477454
Tabouk Area,Tabouk,Al Nakheel Dist.,28.4148554,36.4876251
Tabouk Area,Tabouk,Sports Stadium,28.4731733,36.4837283
Tabouk Area,Tabouk,Al Yasmin Dist.,28.4205865,36.4523728
Tabouk Area,Tabouk,Al Sulimaniyah Dist.,28.3994728,36.5768317
Tabouk Area,Tabouk,Al Ishrafiyah Dist.,28.4125266,36.5951526
Tabouk Area,Tabouk,Al Mahrajan A Dist.,28.3943643,36.5952682
Tabouk Area,Tabouk,Al Salam Dist.,28.3904872,36.5926923
Tabouk Area,Tabouk,Qurtubah Dist.,28.3927166,36.5969097
Tabouk Area,Tabouk,Al Muruj 3 Dist.,28.4207691,36.5816724
Tabouk Area,Tabouk,Al Muruj 1 Dist.,28.4207691,36.5816724
Tabouk Area,Tabouk,Ar Rabwah Dist.,28.4026762,36.5772317
Tabouk Area,Tabouk,Al Mahrajan B Dist.,28.3943643,36.5952682
Tabouk Area,Tabouk,As Salhiyah Dist.,28.3980711,36.5499984
Tabouk Area,Tabouk,Al Aziziyah Al Qadimah Dist.,28.3942898,36.5623395
Tabouk Area,Tabouk,Al Olaya Dist.,28.3862652,36.5879491
Tabouk Area,Tabouk,Al Aziziyah Al Jadidah Dist.,28.3858406,36.572629
Tabouk Area,Tabouk,As Salman Dist.,28.3835128,36.5763184
Tabouk Area,Tabouk,Al Iskan Dist.,28.4863121,36.4660851
Tabouk Area,Tabouk,Al Ain Dist.,28.3835079,36.5661908
Tabouk Area,Tabouk,Al Shifa Dist.,28.3706147,36.477014
Al Riyadh Area,Al Riyadh,Al Amal Dist.,24.6454328,46.7192941
Al Riyadh Area,Al Riyadh,Al Namudhajiyah Dist.,24.6583618,46.6951671
Al Riyadh Area,Al Riyadh,Al Jarradiyah Dist.,24.6167319,46.6929198
Al Riyadh Area,Al Riyadh,Al Falah Dist.,24.7962312,46.7066834
Al Riyadh Area,Al Riyadh,Al Nada Dist.,24.8002,46.6799955
Al Riyadh Area,Al Riyadh,Al Mursalat Dist.,24.7413586,46.6955266
Al Riyadh Area,Al Riyadh,Al Nuzha Dist.,24.7593563,46.7116197
Al Riyadh Area,Al Riyadh,Al Sinaiyah Dist.,24.6350516,46.7374509
Al Riyadh Area,Al Riyadh,Manfuha Al Jadidah Dist.,24.6126326,46.7221888
Al Riyadh Area,Al Riyadh,Al Woroud Dist.,24.7329344,46.679442
Al Riyadh Area,Al Riyadh,Al Yasmeen Dist.,24.7563888,46.6068926
Al Riyadh Area,Al Riyadh,Al Fakhiriyah Dist.,24.5564837,46.7221505
Al Riyadh Area,Al Riyadh,Al Dirah Dist.,23.9934051,47.1600484
Al Riyadh Area,Al Riyadh,East Umm Al Hamam Dist.,24.6816532,46.6557283
Al Riyadh Area,Al Riyadh,Al Sharafiyah Dist.,24.6506404,46.6674512
Al Riyadh Area,Al Riyadh,Al Hada Dist.,24.4528506,46.2709702
Al Riyadh Area,Al Riyadh,North Mathar Dist.,24.6894046,46.6669635
Al Riyadh Area,Al Riyadh,West Umm Al Hamam Dist.,24.6865177,46.6460901
Al Riyadh Area,Al Riyadh,Ar Rahmaniyah Dist.,24.7170147,46.6594217
Al Riyadh Area,Al Riyadh,Laban Dist.,24.6201354,46.5475904
Al Riyadh Area,Al Riyadh,Ar Rafiah Dist.,24.648838,46.6671295
Al Riyadh Area,Al Riyadh,Al Shohda Dist.,24.7843219,46.7357608
Al Riyadh Area,Al Riyadh,King Fahd Dist.,23.536028,45.5322724
Al Riyadh Area,Al Riyadh,Al Suwaidi Dist.,24.5903985,46.6726953
Al Riyadh Area,Al Riyadh,Al Hazm Dist.,24.5444113,46.6519912
Al Riyadh Area,Al Riyadh,Utayqah Dist.,24.590518,46.7094731
Al Riyadh Area,Al Riyadh,Al Murabba Dist.,24.654317,46.7107299
Al Riyadh Area,Al Riyadh,King Faisal Dist.,24.7320341,46.6559187
Al Riyadh Area,Al Riyadh,2nd Industrial City,24.535842,46.906756
Al Riyadh Area,Al Riyadh,Salahuddin Dist.,24.7409561,46.7168307
Al Riyadh Area,Al Riyadh,King Abdulaziz Dist.,24.6976046,46.7196203
Al Riyadh Area,Al Riyadh,Manfuhah Dist.,24.6007001,46.7244456
Al Riyadh Area,Al Riyadh,Al Nafel Dist.,24.7785703,46.6696496
Al Riyadh Area,Al Riyadh,Al Maseef Dist.,24.7655999,46.6802973
Al Riyadh Area,Al Riyadh,Al Taawun Dist.,24.7599386,46.6907405
Al Riyadh Area,Al Riyadh,Al Aziziyah Dist.,24.6037995,46.757837
Al Riyadh Area,Al Riyadh,Al Mansurah Dist.,24.6034352,46.7465757
Al Riyadh Area,Al Riyadh,Ghobairah Dist.,24.6179896,46.7382916
Al Riyadh Area,Al Riyadh,Al Farooq Dist.,24.6672984,46.7827034
Al Riyadh Area,Al Riyadh,Al Faisaliyah Dist.,24.6369766,46.7728034
Al Riyadh Area,Al Riyadh,Al Khalidiyah Dist.,24.6237866,46.754764
Al Riyadh Area,Al Riyadh,Al Jazeerah Dist.,24.7135517,46.6752957
Al Riyadh Area,Al Riyadh,Al Saadah Dist.,24.6855992,46.8347647
Al Riyadh Area,Al Riyadh,Al Nasiriyah Dist.,24.6471699,46.6704379
Al Riyadh Area,Al Riyadh,Al Manakh Dist.,24.5999291,46.8038629
Al Riyadh Area,Al Riyadh,Al Difaa Dist.,24.586232,46.8300374
Al Riyadh Area,Al Riyadh,Al Ezdihar Dist.,24.7851291,46.717801
Al Riyadh Area,Al Riyadh,Al Andalus Dist.,24.4681487,46.2810439
Al Riyadh Area,Al Riyadh,Al Noor Dist.,24.6335342,46.8113243
Al Riyadh Area,Al Riyadh,King Abdullah Dist.,24.716353,46.7392546
Al Riyadh Area,Al Riyadh,Al Wahah Dist.,24.7409561,46.7168307
Al Riyadh Area,Al Riyadh,Al Wizarat Dist.,24.6765865,46.7100283
Al Riyadh Area,Al Riyadh,Skirinah Dist.,24.7135517,46.6752957
Al Riyadh Area,Al Riyadh,Ar Rabwah Dist.,24.6915715,46.7639686
Al Riyadh Area,Al Riyadh,Jareer Dist.,24.6730263,46.7603114
Al Riyadh Area,Al Riyadh,Al Mathar Dist.,24.6777932,46.6641413
Al Riyadh Area,Al Riyadh,As Salhiyah Dist.,24.6333639,46.7318239
Al Riyadh Area,Al Riyadh,Al Malaz Dist.,24.6624446,46.7287761
Al Riyadh Area,Al Riyadh,Olaishah Dist.,24.6167319,46.6929198
Al Riyadh Area,Al Riyadh,Al Nahdah Dist.,24.7550329,46.8214848
Al Riyadh Area,Al Riyadh,Al Khaleej Dist.,24.7135517,46.6752957
Al Riyadh Area,Al Riyadh,Al Dhubbat Dist.,24.6821814,46.7197988
Al Riyadh Area,Al Riyadh,West Suwaidi Dist.,24.5903985,46.6726953
Al Riyadh Area,Al Riyadh,Dirab Dist.,24.5019498,46.6264236
Al Riyadh Area,Al Riyadh,Ohod Dist.,24.5026248,46.6407736
Al Riyadh Area,Al Riyadh,Namar Dist.,24.5769995,46.6920516
Al Riyadh Area,Al Riyadh,Al Shifa Dist.,24.5673452,46.7024146
Al Riyadh Area,Al Riyadh,Al Muhammadiyah Dist.,24.4438868,46.2689858
Al Riyadh Area,Al Riyadh,Al Sulaimaniyah Dist.,23.7795262,44.7838411
Al Riyadh Area,Al Riyadh,Al Marwah Dist.,24.5263732,46.6760822
Al Riyadh Area,Al Riyadh,Okaz Dist.,24.5107714,46.6840228
Al Riyadh Area,Al Riyadh,Shubra Dist.,24.5739032,46.6635897
Al Riyadh Area,Al Riyadh,Al Zahrah Dist.,24.5761234,46.6363507
Al Riyadh Area,Al Riyadh,Siyah Dist.,24.6167319,46.6929198
Al Riyadh Area,Al Riyadh,Sultanah Dist.,24.6042675,46.6926697
Al Riyadh Area,Al Riyadh,Al Yamamah Dist.,24.6046533,46.72047
Al Riyadh Area,Al Riyadh,Al Badiah Dist.,24.5983243,46.6455287
Al Riyadh Area,Al Riyadh,Al Masani Dist.,24.5761986,46.7343566
Al Riyadh Area,Al Riyadh,Al Qadisiyah Dist.,24.8095576,46.8261516
Al Riyadh Area,Al Riyadh,Al Safa Dist.,24.670761,46.7610486
Al Riyadh Area,Al Riyadh,Al Olaya Dist.,24.695087,46.6806472
Al Riyadh Area,Al Riyadh,Al Rayan Dist.,24.3136332,45.8523026
Al Riyadh Area,Al Riyadh,Dhahrat Al Badeah Dist.,24.5983243,46.6455287
Al Riyadh Area,Al Riyadh,Al Nadheem Dist.,24.8033292,46.894362
Al Riyadh Area,Al Riyadh,Taybah Dist.,24.5494403,46.7921528
Al Riyadh Area,Al Riyadh,Mansuriyah Dist.,24.7512929,46.6878427
Al Riyadh Area,Al Riyadh,Dahiyat Namar Dist.,24.510868,46.525948
Al Riyadh Area,Al Riyadh,Al Misfat Dist.,24.5041673,46.9264269
Al Riyadh Area,Al Riyadh,Assafarat Dist.,24.6832935,46.6231824
Al Riyadh Area,Al Riyadh,Khashm Al An,24.6687903,46.9255944
Al Riyadh Area,Al Riyadh,Al Uraija Dist.,24.60218,46.62807
Al Riyadh Area,Al Riyadh,Middle Oraija Dist.,24.60218,46.62807
Al Riyadh Area,Al Riyadh,Al Munisiyah Dist.,24.8294424,46.751859
Al Riyadh Area,Al Riyadh,Al Khuzama Dist.,24.7219023,46.5944921
Al Riyadh Area,Al Riyadh,Irqah,24.6872441,46.5823725
Al Riyadh Area,Al Riyadh,Dhahrat Laban Dist.,24.6532569,46.5769691
Al Riyadh Area,Al Riyadh,Al Rimayah Dist.,24.7703272,46.8543221
Al Riyadh Area,Al Riyadh,Al Bariyah Dist.,24.5645749,46.9027325
Al Riyadh Area,Al Riyadh,Qurtubah Dist.,24.817733,46.7360206
Al Riyadh Area,Al Riyadh,Tuwaiq Dist.,24.5609014,46.5704273
Al Riyadh Area,Al Riyadh,Al Awaly Dist.,24.5549885,46.6008195
Al Riyadh Area,Al Riyadh,Ar Rabie Dist.,24.7924381,46.6518665
Al Riyadh Area,Al Riyadh,Al Mughrazat Dist.,24.7625344,46.7253928
Al Riyadh Area,Al Riyadh,Al Sulay Dist.,24.6571726,46.8344515
Al Riyadh Area,Al Riyadh,Al Aqeeq Dist.,24.7740729,46.6309639
Al Riyadh Area,Al Riyadh,Thulaim Dist.,24.6401529,46.7256371
Al Riyadh Area,Al Riyadh,Al Shumaisi Dist.,24.6234796,46.6957372
Al Riyadh Area,Al Riyadh,Al Wisham Dist.,24.651576,46.705908
Al Riyadh Area,Al Riyadh,Salam Park,24.6200404,46.7094679
Al Riyadh Area,Al Riyadh,Al Dubiyah Dist.,24.6167319,46.6929198
Al Riyadh Area,Al Riyadh,Meakal Dist.,24.6167319,46.6929198
Al Riyadh Area,Al Riyadh,Jabrah Dist.,24.6222569,46.7188527
Al Riyadh Area,Al Riyadh,Al Qura Dist.,24.6278962,46.7152755
Al Riyadh Area,Al Riyadh,Al Marqab Dist.,24.6167319,46.6929198
Al Riyadh Area,Al Riyadh,Al Raed Dist.,24.7062938,46.628532
Al Riyadh Area,Al Riyadh,West Oraija Dist.,24.5897399,46.6126825
Al Riyadh Area,Al Riyadh,Al Futah Dist.,24.643767,46.7154224
Al Riyadh Area,Al Riyadh,Umm Saleem Dist.,24.6328083,46.6986164
Al Riyadh Area,Al Riyadh,Al Sahafah Dist.,24.8121717,46.6361273
Al Riyadh Area,Al Riyadh,Al Hamra Dist.,24.778346,46.7614326
Al Riyadh Area,Al Riyadh,Al Dar Al Baida Dist.,24.564888,46.7836351
Al Riyadh Area,Al Riyadh,Al Butaiha Dist.,24.6221233,46.7197548
Al Riyadh Area,Al Riyadh,Al Zahra Dist.,24.687865,46.7305648
Al Riyadh Area,Al Riyadh,Al Fayha Dist.,24.6811518,46.8126664
Al Riyadh Area,Al Riyadh,Al Mutamarat Dist.,24.6705495,46.6863616
Al Riyadh Area,Al Riyadh,Al Wusayta Dist.,24.6167319,46.6929198
Al Riyadh Area,Al Riyadh,Al Janadriyah Dist.,24.8201863,46.8818482
Al Riyadh Area,Al Riyadh,Ishbiliyah Dist.,24.792046,46.7739459
Al Riyadh Area,Al Riyadh,Al Maizalah Dist.,24.7934171,46.8502929
Al Riyadh Area,Al Riyadh,Al Yarmuk Dist.,24.8070984,46.7982322
Al Riyadh Area,Al Riyadh,Al Duraihemiyah Dist.,24.5903985,46.6726953
Al Riyadh Area,Al Riyadh,Al Iskan Dist.,24.5715327,46.8396393
Al Riyadh Area,Al Riyadh,Al Salam Dist.,24.7083499,46.8133526
Al Riyadh Area,Al Riyadh,Al Manar Dist.,24.7297594,46.7955568
Al Riyadh Area,Al Riyadh,East Naseem Dist.,24.7426943,46.8407774
Al Riyadh Area,Al Riyadh,Al Quds Dist.,24.7572297,46.7527165
Al Riyadh Area,Al Riyadh,Al Wadi Dist.,24.7871093,46.6877277
Al Riyadh Area,Al Riyadh,Al Rawdah Dist.,24.7281679,46.7696157
Al Riyadh Area,Al Riyadh,Al Rawabi Dist.,24.6851894,46.7915
Al Riyadh Area,Al Riyadh,Hiteen Dist.,24.828044,46.5916036
Al Riyadh Area,Al Riyadh,Al Nakheel Dist.,24.7470915,46.649504
Al Riyadh Area,Al Riyadh,Al Ghadeer Dist.,24.7734256,46.6454172
Al Riyadh Area,Al Riyadh,Al Muruj Dist.,24.4766535,46.275046
Al Riyadh Area,Al Riyadh,Al Malqa Dist.,24.8070213,46.6018045
Al Riyadh Area,Al Riyadh,Al Qairawan Dist.,24.8229469,46.5937347
Al Riyadh Area,Al Riyadh,Al Arid Dist.,24.8571641,46.6385924
Al Riyadh Area,Al Riyadh,King Khalid International Airport,24.9454935,46.7089092
Al Riyadh Area,Al Riyadh,Al Narjis Dist.,24.8835185,46.6461793
Al Riyadh Area,Al Riyadh,West Naseem Dist.,24.7235642,46.8285887
Al Riyadh Area,Al Riyadh,Al Mishael Dist.,24.6112747,46.8647346
Al Riyadh Area,Al Riyadh,Imam Muhammed Bin Saud Islamic University,24.8072466,46.698399
Al Riyadh Area,Al Riyadh,Banban Dist.,25.0284581,46.5795603
Al Riyadh Area,Al Riyadh,Al Rimal Dist.,24.8808159,46.8286213
Al Riyadh Area,Al Riyadh,Ghirnatah Dist.,24.4663575,46.2687538
Al Riyadh Area,Al Riyadh,Al Dahou Dist.,24.6167319,46.6929198
Al Riyadh Area,Al Riyadh,Al Ammajiyah Dist.,24.4399807,46.9777268
Al Riyadh Area,Al Riyadh,Hyt Dist.,24.4836292,46.9737722
Al Riyadh Area,Al Riyadh,Al Haer Dist.,24.4007787,46.8464699
Al Riyadh Area,Al Riyadh,Umm Al Shaal Dist.,24.3323956,46.9658372
Al Riyadh Area,Al Riyadh,Al Ghannamiyah Dist.,24.4789638,46.803293
Al Riyadh Area,Al Riyadh,Oraid Dist.,24.4599808,46.7520219
Al Riyadh Area,Al Riyadh,Badr Dist.,24.6626184,46.877718
Al Riyadh Area,Al Riyadh,Al Mahdiyah Dist.,24.6500984,46.5034475
Al Riyadh Area,Al Riyadh,King Saud University,24.7222078,46.6258804
Al Riyadh Area,Al Riyadh,Al Nadwah Dist.,24.8033292,46.894362
Al Riyadh Area,Al Riyadh,Al Rabiyah Dist.,24.6387683,46.5891168
Al Riyadh Area,Al Riyadh,Wady Laban Dist.,24.6065909,46.5460927
Al Riyadh Area,Al Riyadh,Al Sidrah Dist.,24.8638875,46.7455469
Al Riyadh Area,Al Riyadh,Al Tadamun Dist.,25.0223312,47.0375092
Al Riyadh Area,Al Riyadh,King Abdullah City For Energy,24.7071769,46.6787587
Al Riyadh Area,Al Riyadh,Al Basatin Dist.,24.0586077,45.2715477
Al Riyadh Area,Al Riyadh,Al Rehab Dist.,24.7870816,46.5620116
Al Riyadh Area,Al Riyadh,Al Majd Dist.,24.7135517,46.6752957
Al Riyadh Area,Al Riyadh,Al Danah Dist.,25.0115162,47.0898737
Al Riyadh Area,Al Riyadh,Al Risalah Dist.,25.000373,47.0929102
Al Riyadh Area,Al Riyadh,Al Khair Dist.,25.0299588,46.4531247
Al Riyadh Area,Al Riyadh,Al Fursan Dist.,24.9798438,47.0811702
Al Riyadh Area,Al Riyadh,Al Sholah Dist.,25.0070577,47.0532651
Al Riyadh Area,Al Riyadh,Al Rayah Dist.,24.9938862,47.0793014
Al Riyadh Area,Al Riyadh,Al Zahour Dist.,24.7015922,46.6678826
Al Riyadh Area,Al Riyadh,Al Zaher Dist.,24.9973589,47.0429095
Al Riyadh Area,Al Riyadh,Al Marjan Dist.,24.92461,46.8677843
Al Riyadh Area,Al Riyadh,Al Bayan Dist.,24.8860065,46.8686995
Al Riyadh Area,Al Riyadh,Al Ula Dist.,24.695087,46.6806472
Al Riyadh Area,Al Riyadh,Al Mashriq Dist.,24.9575603,47.0279319
Al Riyadh Area,Al Riyadh,Al Nakhbah Dist.,24.9918113,47.1067427
Al Riyadh Area,Al Riyadh,Al Sahab Dist.,24.9545446,46.9900318
Al Riyadh Area,Al Riyadh,Al Wasam Dist.,24.911,46.916
Al Riyadh Area,Al Riyadh,Al Oud Dist.,24.6336769,46.7288339
Makkah Area,Al Taif,Ar Ruddaf Dist.,21.2275475,40.4210529
Makkah Area,Al Taif,C32 Dist.,21.3200829,40.5275722
Makkah Area,Al Taif,C30 Dist.,21.353683,40.5324212
Makkah Area,Al Taif,C31 Dist.,21.3854873,40.520835
Makkah Area,Al Taif,Ashuhada Aljanubiyyah  Dist.,21.2613101,40.4241517
Makkah Area,Al Taif,Shihar  Dist.,21.2489622,40.413338
Makkah Area,Al Taif,C20 Dist.,21.4672332,40.5552032
Makkah Area,Al Taif,Nakhab  Dist.,21.2725404,40.4350714
Makkah Area,Al Taif,C24 Dist.,21.0733742,40.3082015
Makkah Area,Al Taif,Al Halqah Asharqiyyah Dist.,21.3512561,40.454401
Makkah Area,Al Taif,Al Qayam Al Asfal Dist.,21.3702601,40.4548293
Makkah Area,Al Taif,New International Airport,21.4228643,40.6548445
Makkah Area,Al Taif,C14 Dist.,21.5772029,40.7032738
Makkah Area,Al Taif,C13 Dist.,21.5442168,40.6504445
Makkah Area,Al Taif,Al Qayam Al Aala Dist.,21.3390255,40.4358843
Makkah Area,Al Taif,C7 Dist.,21.5121903,40.4971926
Makkah Area,Al Taif,C19 Dist.,21.476543,40.6262588
Makkah Area,Al Taif,C34 Dist.,21.2989758,40.5211521
Makkah Area,Al Taif,Al Urj Al Asfal Dist.,21.3455075,40.4686637
Makkah Area,Al Taif,New Taif University,21.3292195,40.5019818
Makkah Area,Al Taif,Masarah 2 Dist.,21.3041193,40.3705811
Makkah Area,Al Taif,Al Faisaliyah Dist.,21.2889167,40.4177222
Makkah Area,Al Taif,Al Urj Al Aala Dist.,21.3273037,40.4597887
Makkah Area,Al Taif,C39 Dist.,21.2165201,40.5257896
Makkah Area,Al Taif,C38 Dist.,21.2235125,40.5096186
Makkah Area,Al Taif,Al Ghumayr Dist.,21.3033773,40.3854816
Makkah Area,Al Taif,Al Aarmiah 1 Dist.,21.3864079,40.4661662
Makkah Area,Al Taif,Al Qadirah Dist.,21.4059709,40.4484727
Makkah Area,Al Taif,Riha  Dist.,21.4673522,40.4579952
Makkah Area,Al Taif,Al Washha Dist.,21.2535589,40.432418
Makkah Area,Al Taif,Ashuhada Alshamaliyyah  Dist.,21.2678699,40.4187469
Makkah Area,Al Taif,C9 Dist.,21.5307723,40.5251217
Makkah Area,Al Taif,Air Defense Forces Dist.,21.2840782,40.4248192
Makkah Area,Al Taif,Al Iskan Dist.,21.4311922,40.4523887
Makkah Area,Al Taif,Al Mudhbah Dist.,21.4423393,40.4782419
Makkah Area,Al Taif,Al Wasit  Dist.,21.4801499,40.4653552
Makkah Area,Al Taif,C33 Dist.,21.2663712,40.5456118
Makkah Area,Al Taif,An Nuzhah Dist.,21.2544538,40.4191271
Makkah Area,Al Taif,C8 Dist.,21.5439571,40.4996828
Makkah Area,Al Taif,Al Dhabt Dist.,21.3960586,40.4450601
Makkah Area,Al Taif,Al Sawaiqa Dist.,21.3263989,40.4134866
Makkah Area,Al Taif,C36 Dist.,21.2423063,40.5368886
Makkah Area,Al Taif,Masmla Dist.,21.4657441,40.4821924
Makkah Area,Al Taif,Al Huwaya Dist.,21.441058,40.495228
Makkah Area,Al Taif,C40 Dist.,21.1979607,40.5882351
Makkah Area,Al Taif,C41 Dist.,21.1798575,40.6107942
Makkah Area,Al Taif,Akhbab Dist.,21.231681,40.3684061
Makkah Area,Al Taif,Alqrahin Dist.,21.2214525,40.4055026
Makkah Area,Al Taif,As Sadad Dist.,21.2274993,40.4144447
Makkah Area,Al Taif,Umm Alarad  Dist.,21.2413843,40.4067707
Makkah Area,Al Taif,Al Hadaek Dist.,21.2445671,40.4464089
Makkah Area,Al Taif,Al Sabaa  Dist.,21.2414558,40.4545144
Makkah Area,Al Taif,Al Maarid  Dist.,21.2576015,40.455343
Makkah Area,Al Taif,Ash Shifa  Dist.,21.0701785,40.3088658
Makkah Area,Al Taif,C3 Dist.,21.3865443,40.3958292
Makkah Area,Al Taif,C4 Dist.,21.4180943,40.4106642
Makkah Area,Al Taif,C25 Dist.,21.3749277,40.5491735
Makkah Area,Al Taif,C26 Dist.,21.3664498,40.5734612
Makkah Area,Al Taif,C28 Dist.,21.3144144,40.5581722
Makkah Area,Al Taif,C29 Dist.,21.3333003,40.5530318
Makkah Area,Al Taif,Maashi  Dist.,21.2832597,40.3996611
Makkah Area,Al Taif,Al Qumariyyah  Dist.,21.2773318,40.4279891
Makkah Area,Al Taif,Awdah  Dist.,21.2446936,40.3978758
Makkah Area,Al Taif,As Salamah  Dist.,21.2693343,40.4016705
Makkah Area,Al Taif,Qurwa  Dist.,21.2718785,40.3941783
Makkah Area,Al Taif,Al Siana Dist.,21.341285,40.4437329
Makkah Area,Al Taif,Suq Ukadh Dist.,21.4795416,40.6617748
Makkah Area,Al Taif,C21 Dist.,21.4102049,40.6314977
Makkah Area,Al Taif,C44 Dist.,21.340922,40.3414867
Makkah Area,Al Taif,C27 Dist.,21.3449489,40.5774299
Makkah Area,Al Taif,C10 Dist.,21.5888244,40.5271967
Makkah Area,Al Taif,Dhahiyat Al Iskan  Dist.,21.371701,40.6245465
Makkah Area,Al Taif,Dhahiyat Al Iskan Extension Area,21.3990158,40.6117085
Makkah Area,Al Taif,As Sail Al Kabeer  Dist.,21.6457657,40.4022958
Makkah Area,Al Taif,Al Huda  Dist.,21.3648223,40.2803491
Makkah Area,Al Taif,C5 Dist.,21.4962295,40.4471927
Makkah Area,Al Taif,C43 Dist.,21.2570163,40.6698122
Makkah Area,Al Taif,C16 Dist.,21.4884657,40.7400014
Makkah Area,Al Taif,C18 Dist.,21.4556304,40.6722634
Makkah Area,Al Taif,C11 Dist.,21.5681627,40.5628055
Makkah Area,Al Taif,C12 Dist.,21.5209243,40.6017346
Makkah Area,Al Taif,C15 Dist.,21.6136251,40.7125221
Makkah Area,Al Taif,C17 Dist.,21.5012788,40.7849476
Makkah Area,Al Taif,C22 Dist.,21.3671136,40.6642726
Makkah Area,Al Taif,C23 Dist.,21.4525118,40.5389846
Makkah Area,Al Taif,Huwaya Ash Shamaliyyah Dist.,21.2672281,40.4133001
Makkah Area,Al Taif,Al Khalidiyah Dist.,21.2805559,40.3940465
Makkah Area,Al Taif,Masarah 1 Dist.,21.2965591,40.3911132
Makkah Area,Al Taif,Ar Rabie Dist.,21.2644174,40.4320458
Makkah Area,Al Taif,Al Salam Dist.,21.2840782,40.4248192
Makkah Area,Al Taif,Ar Rabwah Dist.,21.2840782,40.4248192
Makkah Area,Al Taif,Huwaya Al Janoubiyah  Dist.,21.26252,40.4118372
Makkah Area,Al Taif,Al Qutbiyyah  Dist.,21.2773318,40.4279891
Makkah Area,Al Taif,Al Aarmiah 2 Dist.,21.3985041,40.4960776
Makkah Area,Al Taif,Al Mutarid  Dist.,21.4492666,40.5107711
Makkah Area,Al Taif,Al Ruwaidaf Dist.,21.4103242,40.4946952
Makkah Area,Al Taif,Al Jawharah  Dist.,21.4234453,40.4991345
Makkah Area,Al Taif,Qami Dist.,21.4651475,40.469861
Makkah Area,Al Taif,Jabrah Dist.,21.3035961,40.430929
Makkah Area,Al Taif,Al Jafijif Dist.,21.2964908,40.438227
Makkah Area,Al Taif,Al Rehab Dist.,21.4569727,40.4276398
Makkah Area,Al Taif,C1 Dist.,21.2422963,40.3628747
Makkah Area,Al Taif,Al Halqah Al Gharbia Dist.,21.3558709,40.432941
Makkah Area,Al Taif,C6 Dist.,21.4909397,40.4945811
Makkah Area,Al Taif,Al Mathnah  Dist.,21.263458,40.3952274
